Unknown Mother
1000 Embryos
2 Loci
	!Typh04	!Typh16
Emb_1	217/213	255/251	
Emb_2	217/888	255/247	
Emb_3	217/213	255/259	
Emb_4	233/197	255/251	
Emb_5	217/201	255/259	
Emb_6	217/201	255/247	
Emb_7	233/213	255/251	
Emb_8	217/213	255/259	
Emb_9	217/213	255/259	
Emb_10	233/888	255/259	
Emb_11	217/213	255/259	
Emb_12	217/197	255/259	
Emb_13	217/888	255/247	
Emb_14	217/201	255/247	
Emb_15	233/197	255/259	
Emb_16	233/213	255/259	
Emb_17	233/237	255/259	
Emb_18	233/201	255/247	
Emb_19	217/213	255/251	
Emb_20	233/197	255/259	
Emb_21	233/888	255/259	
Emb_22	233/237	255/247	
Emb_23	233/197	255/259	
Emb_24	217/888	255/247	
Emb_25	217/213	255/247	
Emb_26	217/201	255/259	
Emb_27	217/237	255/259	
Emb_28	217/888	255/259	
Emb_29	217/213	255/247	
Emb_30	233/888	255/259	
Emb_31	233/213	255/251	
Emb_32	217/213	255/251	
Emb_33	217/213	255/251	
Emb_34	233/213	255/259	
Emb_35	217/213	255/251	
Emb_36	217/888	255/259	
Emb_37	217/213	255/259	
Emb_38	233/213	255/251	
Emb_39	217/213	255/259	
Emb_40	217/888	255/259	
Emb_41	233/201	255/247	
Emb_42	217/237	255/259	
Emb_43	217/213	255/259	
Emb_44	217/888	255/247	
Emb_45	217/197	255/259	
Emb_46	233/201	255/247	
Emb_47	217/201	255/259	
Emb_48	233/197	255/251	
Emb_49	217/237	255/259	
Emb_50	217/213	255/259	
Emb_51	217/888	255/259	
Emb_52	217/197	255/259	
Emb_53	233/213	255/247	
Emb_54	233/197	255/251	
Emb_55	217/213	255/259	
Emb_56	233/213	255/259	
Emb_57	217/213	255/259	
Emb_58	233/213	255/259	
Emb_59	217/888	255/247	
Emb_60	217/888	255/259	
Emb_61	217/237	255/247	
Emb_62	233/213	255/259	
Emb_63	217/197	255/259	
Emb_64	233/213	255/251	
Emb_65	233/201	255/259	
Emb_66	233/213	255/259	
Emb_67	233/213	255/247	
Emb_68	217/197	255/251	
Emb_69	233/213	255/259	
Emb_70	217/213	255/259	
Emb_71	233/213	255/259	
Emb_72	217/213	255/259	
Emb_73	217/201	255/247	
Emb_74	217/237	255/259	
Emb_75	217/197	255/251	
Emb_76	233/888	255/259	
Emb_77	233/213	255/247	
Emb_78	217/888	255/259	
Emb_79	233/888	255/247	
Emb_80	217/888	255/247	
Emb_81	217/213	255/259	
Emb_82	217/201	255/247	
Emb_83	233/213	255/259	
Emb_84	217/197	255/259	
Emb_85	217/213	255/259	
Emb_86	217/213	255/251	
Emb_87	233/888	255/247	
Emb_88	233/888	255/259	
Emb_89	233/888	255/259	
Emb_90	217/237	255/247	
Emb_91	217/888	255/247	
Emb_92	217/197	255/259	
Emb_93	233/197	255/251	
Emb_94	233/201	255/247	
Emb_95	217/237	255/259	
Emb_96	233/213	255/251	
Emb_97	217/213	255/247	
Emb_98	217/888	255/259	
Emb_99	217/888	255/259	
Emb_100	217/213	255/251	
Emb_101	217/237	255/259	
Emb_102	233/201	255/247	
Emb_103	233/197	255/251	
Emb_104	233/201	255/259	
Emb_105	233/213	255/259	
Emb_106	233/197	255/251	
Emb_107	233/213	255/259	
Emb_108	217/197	255/251	
Emb_109	233/237	255/259	
Emb_110	217/201	255/259	
Emb_111	217/201	255/247	
Emb_112	217/201	255/247	
Emb_113	233/213	255/247	
Emb_114	233/888	255/247	
Emb_115	233/213	255/251	
Emb_116	233/237	255/259	
Emb_117	217/201	255/259	
Emb_118	217/237	255/247	
Emb_119	217/213	255/259	
Emb_120	217/213	255/251	
Emb_121	233/213	255/251	
Emb_122	217/213	255/247	
Emb_123	217/213	255/259	
Emb_124	217/197	255/259	
Emb_125	217/213	255/251	
Emb_126	233/197	255/259	
Emb_127	233/213	255/251	
Emb_128	217/201	255/259	
Emb_129	233/213	255/259	
Emb_130	217/201	255/259	
Emb_131	233/201	255/247	
Emb_132	217/213	255/251	
Emb_133	217/213	255/247	
Emb_134	217/213	255/247	
Emb_135	233/213	255/259	
Emb_136	233/213	255/259	
Emb_137	233/213	255/251	
Emb_138	217/213	255/251	
Emb_139	233/197	255/251	
Emb_140	217/197	255/251	
Emb_141	217/197	255/251	
Emb_142	217/201	255/247	
Emb_143	217/201	255/259	
Emb_144	233/197	255/251	
Emb_145	217/197	255/259	
Emb_146	233/213	255/259	
Emb_147	233/213	255/259	
Emb_148	217/237	255/247	
Emb_149	233/201	255/259	
Emb_150	217/197	255/251	
Emb_151	233/201	255/247	
Emb_152	217/213	255/251	
Emb_153	233/213	255/259	
Emb_154	233/888	255/247	
Emb_155	217/213	255/251	
Emb_156	233/237	255/259	
Emb_157	233/888	255/259	
Emb_158	217/197	255/251	
Emb_159	217/213	255/247	
Emb_160	217/213	255/251	
Emb_161	217/237	255/247	
Emb_162	217/213	255/259	
Emb_163	217/197	255/259	
Emb_164	233/213	255/247	
Emb_165	217/213	255/259	
Emb_166	217/201	255/247	
Emb_167	233/213	255/259	
Emb_168	217/201	255/259	
Emb_169	217/201	255/259	
Emb_170	217/201	255/259	
Emb_171	233/201	255/259	
Emb_172	233/197	255/251	
Emb_173	217/213	255/251	
Emb_174	217/201	255/259	
Emb_175	233/213	255/259	
Emb_176	233/213	255/247	
Emb_177	233/213	255/251	
Emb_178	233/201	255/259	
Emb_179	217/201	255/247	
Emb_180	233/888	255/259	
Emb_181	233/213	255/259	
Emb_182	217/213	255/259	
Emb_183	233/197	255/251	
Emb_184	217/237	255/247	
Emb_185	217/213	255/259	
Emb_186	217/237	255/259	
Emb_187	233/237	255/259	
Emb_188	217/213	255/259	
Emb_189	217/197	255/251	
Emb_190	217/888	255/247	
Emb_191	233/237	255/247	
Emb_192	233/213	255/247	
Emb_193	233/201	255/247	
Emb_194	217/213	255/251	
Emb_195	217/201	255/259	
Emb_196	217/201	255/259	
Emb_197	233/197	255/251	
Emb_198	217/888	255/259	
Emb_199	233/201	255/259	
Emb_200	233/197	255/259	
Emb_201	217/213	255/259	
Emb_202	233/237	255/259	
Emb_203	233/213	255/259	
Emb_204	233/237	255/247	
Emb_205	217/237	255/259	
Emb_206	233/201	255/247	
Emb_207	217/201	255/259	
Emb_208	217/197	255/259	
Emb_209	233/237	255/259	
Emb_210	217/213	255/259	
Emb_211	233/213	255/251	
Emb_212	233/213	255/259	
Emb_213	233/197	255/259	
Emb_214	233/237	255/247	
Emb_215	217/237	255/259	
Emb_216	217/213	255/259	
Emb_217	217/213	255/259	
Emb_218	217/888	255/259	
Emb_219	217/888	255/247	
Emb_220	217/201	255/259	
Emb_221	217/213	255/251	
Emb_222	233/213	255/251	
Emb_223	217/237	255/247	
Emb_224	217/213	255/251	
Emb_225	233/201	255/247	
Emb_226	233/197	255/251	
Emb_227	233/213	255/251	
Emb_228	217/213	255/259	
Emb_229	233/888	255/259	
Emb_230	233/888	255/247	
Emb_231	217/888	255/247	
Emb_232	233/213	255/251	
Emb_233	217/213	255/247	
Emb_234	217/197	255/251	
Emb_235	217/213	255/251	
Emb_236	217/201	255/247	
Emb_237	233/197	255/251	
Emb_238	217/888	255/259	
Emb_239	233/213	255/247	
Emb_240	233/201	255/247	
Emb_241	233/888	255/247	
Emb_242	233/888	255/247	
Emb_243	217/213	255/259	
Emb_244	217/213	255/247	
Emb_245	217/888	255/259	
Emb_246	233/213	255/251	
Emb_247	217/237	255/259	
Emb_248	217/237	255/259	
Emb_249	233/201	255/247	
Emb_250	217/201	255/247	
Emb_251	217/213	255/251	
Emb_252	217/213	255/247	
Emb_253	233/197	255/251	
Emb_254	217/197	255/251	
Emb_255	233/888	255/259	
Emb_256	217/888	255/247	
Emb_257	233/237	255/259	
Emb_258	233/213	255/247	
Emb_259	233/213	255/247	
Emb_260	233/888	255/259	
Emb_261	233/213	255/259	
Emb_262	233/197	255/251	
Emb_263	217/197	255/259	
Emb_264	233/237	255/259	
Emb_265	233/888	255/259	
Emb_266	233/201	255/247	
Emb_267	217/237	255/247	
Emb_268	233/213	255/247	
Emb_269	217/213	255/247	
Emb_270	233/213	255/259	
Emb_271	217/237	255/259	
Emb_272	217/201	255/247	
Emb_273	217/237	255/247	
Emb_274	217/237	255/247	
Emb_275	233/213	255/259	
Emb_276	233/213	255/259	
Emb_277	217/213	255/259	
Emb_278	217/237	255/247	
Emb_279	217/201	255/259	
Emb_280	233/213	255/259	
Emb_281	233/201	255/259	
Emb_282	217/888	255/247	
Emb_283	217/213	255/259	
Emb_284	217/213	255/251	
Emb_285	217/237	255/247	
Emb_286	217/201	255/259	
Emb_287	233/201	255/259	
Emb_288	217/213	255/259	
Emb_289	233/197	255/251	
Emb_290	217/213	255/247	
Emb_291	217/888	255/247	
